Ranking    Team                Record     Conf       SubDiv     Rating     MoV        SoS        Last Year
164        Middle Tennessee    1-1        CUSA       FBS        -0.178     -          -          173
165        Colgate             2-1        PL         FCS        -0.180     -          -          197
166        Lamar               2-1        SL         FCS        -0.183     -          -          179
167        Louisiana-Monroe    0-2        SB         FBS        -0.203     -          -          167
168        UTEP                1-1        MW         FBS        -0.207     -          -          171
169        UMass               2-0        MAC        FBS        -0.212     -          -          232
170        SE Louisiana        1-2        SL         FCS        -0.220     -          -          126
171        Campbell            2-1        CAA        FCS        -0.223     -          -          219
172        Elon                2-1        CAA        FCS        -0.224     -          -          172
173        Furman              2-1        SoCon      FCS        -0.229     -          -          199
174        ETSU                1-2        SoCon      FCS        -0.230     -          -          145
175        William & Mary      2-1        PL         FCS        -0.232     -          -          180
176        Richmond            2-1        PL         FCS        -0.246     -          -          213
177        Monmouth            1-2        CAA        FCS        -0.246     -          -          164
178        Eastern Washington  1-2        BSky       FCS        -0.247     -          -          175
179        UTRGV               1-2        SL         FCS        -0.248     -          -          190
180        New Hampshire       1-2        CAA        FCS        -0.253     -          -          151
181        Idaho               0-3        BSky       FCS        -0.256     -          -          174
182        Indiana State       1-2        MVC        FCS        -0.257     -          -          183
183        SE Missouri State   1-2        OVC        FCS        -0.260     -          -          215
184        Weber State         1-2        BSky       FCS        -0.262     -          -          186
185        Sam Houston         0-2        CUSA       FBS        -0.266     -          -          203
186        Albany              2-1        CAA        FCS        -0.271     -          -          231
187        Charlotte           0-2        Amer       FBS        -0.280     -          -          189
188        Northern Iowa       1-1        MVC        FCS        -0.285     -          -          212
189        NC Central          2-1        MEAC       FCS        -0.286     -          -          163
190        Northern Colorado   0-3        BSky       FCS        -0.292     -          -          185
191        Nicholls            2-1        SL         FCS        -0.292     -          -          210
192        West Georgia        0-3        UAC        FCS        -0.294     -          -          149
193        Princeton           0-0        Ivy        FCS        -0.295     -          -          188
194        Lafayette           1-1        PL         FCS        -0.301     -          -          168
195        Prairie View        1-2        SWAC       FCS        -0.304     -          -          202
196        Maine               1-2        CAA        FCS        -0.308     -          -          169
197        Incarnate Word      1-1        SL         FCS        -0.312     -          -          181
198        Central Arkansas    2-1        UAC        FCS        -0.321     -          -          204
199        Brown               0-0        Ivy        FCS        -0.327     -          -          195
200        St. Thomas          2-1        PFL        FCS        -0.329     -          -          184
201        Lindenwood          1-2        OVC        FCS        -0.336     -          -          178
202        Chattanooga         1-2        SoCon      FCS        -0.341     -          -          217
203        Portland State      0-3        BSky       FCS        -0.341     -          -          222
204        North Alabama       1-2        UAC        FCS        -0.341     -          -          211
205        Jackson State       2-0        SWAC       FCS        -0.344     -          -          194
206        Towson              0-3        CAA        FCS        -0.354     -          -          196
207        Eastern Kentucky    1-2        UAC        FCS        -0.355     -          -          191
208        Stony Brook         1-2        CAA        FCS        -0.366     -          -          176
209        Alabama State       2-1        SWAC       FCS        -0.368     -          -          170
210        CCSU                0-2        NEC        FCS        -0.374     -          -          206
211        McNeese             1-2        SL         FCS        -0.381     -          -          214
212        The Citadel         1-2        SoCon      FCS        -0.404     -          -          200
213        Delaware State      2-1        MEAC       FCS        -0.409     -          -          192
214        San Diego           0-2        PFL        FCS        -0.415     -          -          198
215        Cornell             0-0        Ivy        FCS        -0.423     -          -          216
216        Utah Tech           0-3        BSky       FCS        -0.434     -          -          224
